LanguageName,LanguageCode,Voice,Gender
Arabic (Gulf),ar-AE,Hala**,Female
Arabic (Gulf),ar-AE,Zayd**,Male
Belgian Dutch (Flemish),nl-BE,Lisa**,Female
Catalan,ca-ES,Arlet**,Female  
Chinese (Cantonese),yue-CN,Hiujin**,Female
Chinese (Mandarin),cmn-CN,Zhiyu,Female
Danish,da-DK,Sofie**,Female
Dutch,nl-NL,Laura**,Female
English (Australian),en-AU,Olivia**,Female
English (British),en-GB,Amy*,Female
English (British),en-GB,Emma,Female
English (British),en-GB,Brian,Male
English (British),en-GB,Arthur**,Male
English (Indian),en-IN,Kajal**,Female
English (Irish),en-IE,Niamh**,Female
English (New Zealand),en-NZ,Aria**,Female
English (South African),en-ZA,Ayanda**,Female
English (US),en-US,Danielle**,Female
English (US),en-US,Gregory**,Male  
English (US),en-US,Ivy,Female (child)
English (US),en-US,Joanna*,Female
English (US),en-US,Kendra,Female
English (US),en-US,Kimberly,Female
English (US),en-US,Salli,Female
English (US),en-US,Joey,Male
English (US),en-US,Justin,Male (child)  
English (US),en-US,Kevin**,Male (child)
English (US),en-US,Matthew*,Male
English (US),en-US,Ruth**,Female
English (US),en-US,Stephen**,Male
Finnish,fi-FI,Suvi**,Female
French (Belgian),fr-BE,Isabelle**,Female
French (Canadian),fr-CA,Gabrielle**,Female 
French (Canadian),fr-CA,Liam**,Male
French,fr-FR,Léa,Female
French,fr-FR,Rémi**,Male
German,de-DE,Vicki,Female
German,de-DE,Daniel**,Male
German (Austrian),de-AT,Hannah**,Female
Hindi,hi-IN,Kajal**,Female
Italian,it-IT,Bianca,Female
Italian,it-IT,Adriano**,Male
Japanese,ja-JP,Takumi,Male
Japanese,ja-JP,Kazuha**,Female
Japanese,ja-JP,Tomoko**,Female
Korean,ko-KR,Seoyeon,Female
Norwegian,nb-NO,Ida**,Female
Polish,pl-PL,Ola**,Female
Portuguese (Brazilian),pt-BR,Camila,Female
Portuguese (Brazilian),pt-BR,Vitória/Vitoria,Female
Portuguese (Brazilian),pt-BR,Thiago**,Male
Portuguese (European),pt-PT,Inês/Ines,Female
Spanish (European),es-ES,Lucia,Female
Spanish (European),es-ES,Sergio**,Male
Spanish (Mexican),es-MX,Mia,Female
Spanish (Mexican),es-MX,Andrés**,Male
Spanish (US),es-US,Lupe*,Female  
Spanish (US),es-US,Pedro**,Male
Swedish,sv-SE,Elin**,Female
